DT_REFERENCIA;PROJETO;TIPO;VALOR_TEC;VALOR_COM
01/03/2024;PRJ-99777;GUIA;9;9
01/03/2024;PRJ-99581;GUIA;9;9
01/03/2024;PRJ-99745;GUIA;9;9
01/03/2024;PRJ-99631;GUIA;9;9
01/03/2024;PRJ-99746;GUIA;9;9
01/03/2024;PRJ-99747;GUIA;9;9
01/03/2024;PRJ-99791;GUIA;9;9
01/03/2024;PRJ-99829;GUIA;9;9
01/03/2024;PRJ-99833;GUIA;9;9
01/03/2024;PRJ-99887;GUIA;9;9
01/03/2024;PRJ-99888;GUIA;9;9
01/03/2024;PRJ-99894;GUIA;9;9
01/03/2024;PRJ-99895;GUIA;9;9
01/03/2024;PRJ-91515;GUIA;9;9
01/03/2024;PRJ-99842;GUIA;9;9
01/03/2024;PRJ-99911;GUIA;9;9
01/03/2024;PRJ-99641;GUIA;9;9
01/03/2024;PRJ-99642;GUIA;9;9
01/03/2024;PRJ-99919;GUIA;9;9
01/03/2024;PRJ-99644;GUIA;9;9
01/03/2024;PRJ-99647;GUIA;9;9
01/03/2024;PRJ-99649;GUIA;9;9
01/03/2024;PRJ-91928;GUIA;9;9
01/03/2024;PRJ-91937;GUIA;9;9
01/03/2024;PRJ-91953;GUIA;9;9
01/03/2024;PRJ-99652;GUIA;9;9
01/03/2024;PRJ-91961;GUIA;9;9
01/03/2024;PRJ-91966;GUIA;9;9
01/03/2024;PRJ-99583;GUIA;9;9
01/03/2024;PRJ-99219;GUIA;9;9
01/03/2024;PRJ-99236;GUIA;9;9
01/03/2024;PRJ-99133;GUIA;9;9
01/03/2024;PRJ-92519;GUIA;9;9
01/03/2024;PRJ-91133;GUIA;9;9
01/03/2024;PRJ-99667;GUIA;9;9
01/03/2024;PRJ-99912;GUIA;9;9
01/03/2024;PRJ-91981;GUIA;9;9
01/03/2024;PRJ-99679;GUIA;9;9
01/03/2024;PRJ-91991;GUIA;9;9
01/03/2024;PRJ-99672;GUIA;9;9
01/03/2024;PRJ-91193;GUIA;9;9
01/03/2024;PRJ-91199;GUIA;9;9
01/03/2024;PRJ-99686;GUIA;9;9
01/03/2024;PRJ-91189;GUIA;9;9
01/03/2024;PRJ-91187;GUIA;9;9
01/03/2024;PRJ-99716;GUIA;9;9
01/03/2024;PRJ-99426;GUIA;9;9
01/03/2024;PRJ-91189;GUIA;9;9
01/03/2024;PRJ-99283;GUIA;9;9
01/03/2024;PRJ-91297;GUIA;9;9
01/03/2024;PRJ-99587;GUIA;9;9
01/03/2024;PRJ-99552;GUIA;9;9
01/03/2024;PRJ-99228;GUIA;9;9
01/03/2024;PRJ-99799;GUIA;9;9
01/03/2024;PRJ-91314;GUIA;9;9
01/03/2024;PRJ-91324;GUIA;9;9
01/03/2024;PRJ-99759;GUIA;9;9
01/03/2024;PRJ-91345;GUIA;9;9
01/03/2024;PRJ-91347;GUIA;9;9
01/03/2024;PRJ-99756;GUIA;9;9
01/03/2024;PRJ-91349;GUIA;9;9
01/03/2024;PRJ-91352;GUIA;9;9
01/03/2024;PRJ-91137;GUIA;9;9
01/03/2024;PRJ-99714;GUIA;9;9
01/03/2024;PRJ-99124;GUIA;9;9
01/03/2024;PRJ-99596;GUIA;9;9
01/03/2024;PRJ-99715;GUIA;9;9
01/03/2024;PRJ-91354;GUIA;9;9
01/03/2024;PRJ-91356;GUIA;9;9
01/03/2024;PRJ-91361;GUIA;9;9
01/03/2024;PRJ-91368;GUIA;9;9
01/03/2024;PRJ-91385;GUIA;9;9
01/03/2024;PRJ-91389;GUIA;9;9
01/03/2024;PRJ-91382;GUIA;9;9
01/03/2024;PRJ-91386;GUIA;9;9
01/03/2024;PRJ-91387;GUIA;9;9
01/03/2024;PRJ-91388;GUIA;9;9
01/03/2024;PRJ-91419;GUIA;9;9
01/03/2024;PRJ-99494;GUIA;9;9
01/03/2024;PRJ-99787;GUIA;9;9
01/03/2024;PRJ-91426;GUIA;9;9
01/03/2024;PRJ-99582;GUIA;9;9
01/03/2024;PRJ-91431;GUIA;9;9
01/03/2024;PRJ-91448;GUIA;9;9
01/03/2024;PRJ-91449;GUIA;9;9
01/03/2024;PRJ-91526;GUIA;9;9
01/03/2024;PRJ-91551;GUIA;9;9
01/03/2024;PRJ-91552;GUIA;9;9
01/03/2024;PRJ-91421;GUIA;9;9
01/03/2024;PRJ-91619;GUIA;9;9
01/03/2024;PRJ-91635;GUIA;9;9
01/03/2024;PRJ-91636;GUIA;9;9
01/03/2024;PRJ-91637;GUIA;9;9
01/03/2024;PRJ-99866;GUIA;9;9
01/03/2024;PRJ-91659;GUIA;9;9
01/03/2024;PRJ-99446;GUIA;9;9
01/03/2024;PRJ-99892;GUIA;9;9
01/03/2024;PRJ-91799;GUIA;9;9
01/03/2024;PRJ-99921;GUIA;9;9
01/03/2024;PRJ-99922;GUIA;9;9
01/03/2024;PRJ-91775;GUIA;9;9
01/03/2024;PRJ-99792;GUIA;9;9
01/03/2024;PRJ-91974;GUIA;9;9
01/03/2024;PRJ-91796;GUIA;9;9
01/03/2024;PRJ-91896;GUIA;9;9
01/03/2024;PRJ-91925;GUIA;9;9
01/03/2024;PRJ-91996;GUIA;9;9
01/03/2024;PRJ-91969;GUIA;9;9
01/03/2024;PRJ-92962;GUIA;9;9
01/03/2024;PRJ-91965;GUIA;9;9
01/03/2024;PRJ-91499;GUIA;9;9
01/03/2024;PRJ-91418;GUIA;9;9
01/03/2024;PRJ-91423;GUIA;9;9
01/03/2024;PRJ-91154;GUIA;9;9
01/03/2024;PRJ-91434;GUIA;9;9
01/03/2024;PRJ-91249;GUIA;9;9
01/03/2024;PRJ-91255;GUIA;9;9
01/03/2024;PRJ-91363;GUIA;9;9
01/03/2024;PRJ-91396;GUIA;9;9
01/03/2024;PRJ-91437;GUIA;9;9
01/03/2024;PRJ-91458;GUIA;9;9
01/03/2024;PRJ-91463;GUIA;9;9
01/03/2024;PRJ-91512;GUIA;9;9
01/03/2024;PRJ-91541;GUIA;9;9
01/03/2024;PRJ-91539;GUIA;9;9
01/03/2024;PRJ-91543;GUIA;9;9
01/03/2024;PRJ-91598;GUIA;9;9
01/03/2024;PRJ-91645;GUIA;9;9
01/03/2024;PRJ-91664;GUIA;9;9
01/03/2024;PRJ-91669;GUIA;9;9
01/03/2024;PRJ-91674;GUIA;9;9
01/03/2024;PRJ-91679;GUIA;9;9
01/03/2024;PRJ-91682;GUIA;9;9
01/03/2024;PRJ-91746;GUIA;9;9
01/03/2024;PRJ-91751;GUIA;9;9
01/03/2024;PRJ-91769;GUIA;9;9
01/03/2024;PRJ-91778;GUIA;9;9
01/03/2024;PRJ-91786;GUIA;9;9
01/03/2024;PRJ-91916;GUIA;9;9
01/03/2024;PRJ-91957;GUIA;9;9
01/03/2024;PRJ-91516;GUIA;9;9
01/03/2024;PRJ-91557;GUIA;9;9
01/03/2024;PRJ-91693;GUIA;9;9
01/03/2024;PRJ-99198;GUIA;9;9
01/03/2024;PRJ-99221;GUIA;9;9
01/03/2024;PRJ-91929;GUIA;9;9
01/03/2024;PRJ-99399;GUIA;9;9
01/03/2024;PRJ-99636;GUIA;9;9
01/03/2024;PRJ-99435;GUIA;9;9
01/02/2024;PRJ-91919;GUIA;9;9
01/02/2024;PRJ-91924;GUIA;9;9
01/02/2024;PRJ-99367;GUIA;9;9
01/02/2024;PRJ-99643;GUIA;9;9
01/02/2024;PRJ-99165;GUIA;9;9
01/02/2024;PRJ-99993;GUIA;9;9
01/02/2024;PRJ-91455;GUIA;9;9
01/02/2024;PRJ-99376;GUIA;9;9
01/02/2024;PRJ-99211;GUIA;9;9
01/02/2024;PRJ-92946;GUIA;9;9
01/02/2024;PRJ-99391;GUIA;9;9
01/02/2024;PRJ-99718;GUIA;9;9
01/02/2024;PRJ-99397;GUIA;9;9
01/02/2024;PRJ-99765;GUIA;9;9
01/02/2024;PRJ-91998;GUIA;9;9
01/02/2024;PRJ-91227;GUIA;9;9
01/02/2024;PRJ-91616;GUIA;9;9
01/02/2024;PRJ-91671;GUIA;9;9
01/02/2024;PRJ-91673;GUIA;9;9
01/02/2024;PRJ-91299;GUIA;9;9
01/02/2024;PRJ-99838;GUIA;9;9
01/02/2024;PRJ-99541;GUIA;9;9
01/02/2024;PRJ-99551;GUIA;9;9
01/02/2024;PRJ-91392;GUIA;9;9
01/02/2024;PRJ-99753;GUIA;9;9
01/02/2024;PRJ-92949;GUIA;9;9
01/02/2024;PRJ-99418;GUIA;9;9
01/02/2024;PRJ-99479;GUIA;9;9
01/02/2024;PRJ-91121;GUIA;9;9
01/02/2024;PRJ-99293;GUIA;9;9
01/02/2024;PRJ-99998;GUIA;9;9
01/02/2024;PRJ-99915;GUIA;9;9
01/02/2024;PRJ-99748;GUIA;9;9
01/02/2024;PRJ-99789;GUIA;9;9
01/02/2024;PRJ-91439;GUIA;9;9
01/02/2024;PRJ-91337;GUIA;9;9
01/02/2024;PRJ-99983;GUIA;9;9
01/02/2024;PRJ-99311;GUIA;9;9
01/02/2024;PRJ-91231;GUIA;9;9
01/02/2024;PRJ-99957;GUIA;9;9
01/02/2024;PRJ-92192;GUIA;9;9
01/02/2024;PRJ-91595;GUIA;9;9
01/02/2024;PRJ-99281;GUIA;9;9
01/02/2024;PRJ-92524;GUIA;9;9
01/02/2024;PRJ-99316;GUIA;9;9
01/02/2024;PRJ-91556;GUIA;9;9
01/02/2024;PRJ-99437;GUIA;9;9
01/02/2024;PRJ-99442;GUIA;9;9
01/02/2024;PRJ-99443;GUIA;9;9
01/02/2024;PRJ-99939;GUIA;9;9
01/02/2024;PRJ-91999;GUIA;9;9
01/02/2024;PRJ-99949;GUIA;9;9
01/02/2024;PRJ-99116;GUIA;9;9
01/02/2024;PRJ-92965;GUIA;9;9
01/02/2024;PRJ-99974;GUIA;9;9
01/02/2024;PRJ-99125;GUIA;9;9
01/02/2024;PRJ-99139;GUIA;9;9
01/02/2024;PRJ-92169;GUIA;9;9
01/02/2024;PRJ-99187;GUIA;9;9
01/02/2024;PRJ-99475;GUIA;9;9
01/02/2024;PRJ-99191;GUIA;9;9
01/02/2024;PRJ-91496;GUIA;9;9
01/02/2024;PRJ-99234;GUIA;9;9
01/02/2024;PRJ-99269;GUIA;9;9
01/02/2024;PRJ-99989;GUIA;9;9
01/02/2024;PRJ-99393;GUIA;9;9
01/02/2024;PRJ-99287;GUIA;9;9
01/02/2024;PRJ-99225;GUIA;9;9
01/02/2024;PRJ-99396;GUIA;9;9
01/02/2024;PRJ-99191;GUIA;9;9
01/02/2024;PRJ-99323;GUIA;9;9
01/02/2024;PRJ-99368;GUIA;9;9
01/02/2024;PRJ-91849;GUIA;9;9
01/02/2024;PRJ-99493;GUIA;9;9
01/02/2024;PRJ-99447;GUIA;9;9
01/02/2024;PRJ-99117;GUIA;9;9
01/02/2024;PRJ-99666;GUIA;9;9
01/02/2024;PRJ-99498;GUIA;9;9
01/02/2024;PRJ-99529;GUIA;9;9
01/02/2024;PRJ-99529;GUIA;9;9
01/02/2024;PRJ-99542;GUIA;9;9
01/02/2024;PRJ-99546;GUIA;9;9
01/02/2024;PRJ-99549;GUIA;9;9
01/02/2024;PRJ-99553;GUIA;9;9
01/02/2024;PRJ-99555;GUIA;9;9
01/02/2024;PRJ-91532;GUIA;9;9
01/02/2024;PRJ-99565;GUIA;9;9
01/02/2024;PRJ-91545;GUIA;9;9
01/02/2024;PRJ-99441;GUIA;9;9
01/02/2024;PRJ-99354;GUIA;9;9
